40;40
0
20	13
16	14
12	24
8	15
19	3
28	34
19	13
19	14
23	34
34	22
31	13
19	20
9	14
8	31
19	16
34	17
34	18
39	34
25	34
34	24
12	32
19	22
21	13
34	34
8	33
38	13
17	33
19	1
27	34
26	34
19	37
1	33
19	26
19	17
19	18
19	8
12	21
19	10
19	27
14	33
19	2
19	24
20	34
24	13
3	33
12	30
37	13
8	14
17	14
22	13
1	14
19	34
34	32
8	20
34	25
8	16
31	34
15	33
14	14
3	14
33	13
29	34
34	30
5	33
34	21
40	13
8	22
12	23
19	32
15	14
12	29
19	25
21	34
19	7
38	34
8	26
6	33
12	28
8	27
19	38
19	39
35	13
5	14
8	24
12	15
19	30
19	21
24	34
32	13
37	34
22	34
6	14
12	31
34	23
4	33
19	35
34	29
19	36
19	11
33	34
34	15
8	32
12	19
40	34
8	25
4	14
12	33
19	23
19	29
34	31
8	30
19	28
8	21
19	12
12	14
19	15
30	34
23	13
7	33
12	20
32	34
36	13
34	19
12	16
19	40
34	33
19	9
19	31
2	33
39	13
10	33
18	33
25	13
7	14
12	22
16	33
34	13
34	14
8	23
19	19
27	13
26	13
2	14
19	33
10	14
18	14
34	20
34	16
8	29
12	17
8	28
9	33
12	18
