40;40
159
23	27
11	17
36	8
8	15
25	37
13	32
7	8
25	8
35	5
14	15
35	11
25	24
22	9
15	29
27	26
10	17
26	27
15	12
28	25
30	23
21	4
28	7
33	9
38	4
36	7
15	31
9	17
31	8
25	25
22	3
7	7
5	9
25	7
29	37
34	6
28	35
29	24
28	36
12	11
13	29
23	5
26	38
13	12
25	35
15	14
24	26
25	36
8	17
15	16
13	31
31	7
35	4
29	25
26	5
14	17
11	12
21	6
16	35
38	6
16	36
33	10
28	9
27	23
15	18
36	9
29	35
10	12
7	9
25	9
13	14
12	33
29	36
13	16
14	32
30	24
6	8
28	3
12	13
23	4
9	12
11	14
35	6
25	3
11	16
13	18
22	5
31	9
30	25
24	23
33	5
26	4
10	14
33	11
6	7
28	27
15	35
10	16
11	18
8	12
15	36
14	29
36	10
12	34
5	5
14	12
25	27
9	14
27	37
9	16
10	18
10	8
27	8
14	31
23	6
27	24
26	34
28	38
13	35
12	30
13	36
9	18
9	8
31	10
8	14
22	4
26	6
25	38
29	27
8	16
27	25
28	5
14	14
10	7
6	9
27	7
33	4
14	16
36	5
36	11
7	5
25	5
24	8
8	18
8	8
37	8
24	24
9	7
27	35
12	15
27	36
14	18
29	38
31	5
22	6
31	11
24	25
24	7
8	7
37	7
30	27
33	6
32	8
10	9
27	9
28	4
36	4
5	6
25	4
9	9
14	35
16	33
14	36
27	3
12	17
32	7
23	26
15	11
28	34
24	9
31	4
8	9
37	9
34	8
6	5
26	26
28	6
25	34
27	27
12	32
36	6
7	6
25	6
24	3
16	34
13	11
34	7
15	33
32	9
21	8
27	38
29	34
38	8
11	11
15	13
31	6
12	29
23	23
16	30
24	27
37	10
12	12
10	5
27	5
10	11
12	31
13	33
21	7
26	23
38	7
9	5
9	11
13	13
35	8
15	34
34	9
32	10
12	14
11	13
12	16
24	5
8	5
37	5
8	11
37	11
15	30
35	7
6	6
14	11
13	34
27	4
10	13
28	26
12	18
23	8
21	9
38	9
23	24
25	26
9	13
26	37
32	5
34	10
32	11
26	8
13	30
26	24
21	3
15	15
23	25
23	7
27	34
14	33
24	4
8	13
37	4
29	26
35	9
10	6
27	6
12	35
14	13
12	36
26	25
26	7
16	32
38	10
13	15
28	23
9	6
22	8
34	5
26	35
34	11
26	36
25	23
32	4
11	15
33	8
23	9
14	34
15	17
24	6
8	6
37	6
16	29
5	8
10	15
35	10
30	26
22	7
26	9
21	5
38	5
23	3
29	23
33	7
38	11
16	31
14	30
9	15
15	32
13	17
5	7
32	6
34	4
26	3
28	37
28	8
28	24
